@RELATION svmMusicGenre3
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {GB,CS}

@DATA
0.095895,0.000189,3.053532,0.235005,0.269976,0.659569,0.002760,0.118821,-32.476694,1.924899,-0.500962,-0.335844,-0.351401,0.308833,0.058035,0.092465,0.011593,-0.153896,0.050392,0.156128,-0.218916,0.010398,0.004380,0.033155,0.013161,0.021872,0.021993,0.043509,0.003982,0.008794,0.010202,0.008980,0.004799,0.016749,0.028041,0.000694,0.466378,0.046462,0.013283,0.549509,0.001114,0.152756,1.860991,0.474339,0.360736,0.148061,0.233751,0.401790,0.190469,0.244575,0.234660,0.146509,0.111661,0.156514,0.161527,0.008182,0.003058,0.022425,0.007559,0.012668,0.020475,0.033612,0.003789,0.012042,0.008348,0.005743,0.004181,0.007963,GB
0.147618,0.000524,3.112294,0.292974,0.286942,1.043688,0.001839,0.238838,-32.035667,1.528993,-0.563663,0.080354,0.230971,0.025938,0.090554,0.155379,-0.176861,0.121841,0.033859,-0.072943,-0.040951,0.008974,0.004467,0.048109,0.005439,0.015323,0.008739,0.082647,0.002898,0.005623,0.009073,0.017416,0.001979,0.027276,0.047547,0.002176,0.280224,0.049235,0.011264,0.565038,0.000635,0.189450,2.043780,0.446917,0.468625,0.263339,0.332500,0.243760,0.160463,0.181318,0.195937,0.184808,0.194256,0.181688,0.152840,0.006498,0.004554,0.048144,0.003489,0.008384,0.007837,0.060987,0.002503,0.005339,0.005262,0.015947,0.001282,0.017024,GB
0.092797,0.000389,3.183845,0.228410,0.265118,0.577918,0.003335,0.082396,-29.986418,1.853066,-0.476823,-0.168011,-0.195964,0.118857,0.315371,0.145716,-0.217780,0.172822,0.241957,-0.015864,-0.018935,0.005471,0.004272,0.014321,0.015885,0.030015,0.013887,0.053433,0.008697,0.013802,0.014268,0.013657,0.007114,0.019934,0.012470,0.000714,0.161673,0.028594,0.015318,0.224091,0.001355,0.057346,0.857431,0.251833,0.265358,0.254932,0.202180,0.174464,0.127684,0.135141,0.115685,0.166894,0.206851,0.153829,0.190975,0.002899,0.003388,0.006290,0.016652,0.016322,0.012101,0.032640,0.004716,0.007862,0.008864,0.009234,0.008870,0.005559,GB
0.120816,0.000236,3.124884,0.248036,0.254333,1.013238,0.002013,0.166163,-31.658649,0.519463,-0.594212,0.516877,-0.047233,0.033095,-0.174925,-0.069674,-0.297629,-0.073467,-0.169490,0.058854,-0.079643,0.004425,0.002550,0.021352,0.011293,0.037278,0.011490,0.046428,0.003401,0.004479,0.003636,0.006874,0.005680,0.019836,0.033964,0.000815,0.478307,0.046970,0.025509,0.524100,0.000946,0.126142,1.816885,0.469808,0.370362,0.393464,0.273119,0.159822,0.342758,0.233960,0.329961,0.231150,0.379992,0.195437,0.141229,0.002277,0.002608,0.015790,0.012081,0.052174,0.009238,0.046462,0.003969,0.003437,0.002055,0.003219,0.004851,0.015033,GB
0.093262,0.000191,3.115084,0.214741,0.244082,0.708487,0.004755,0.156375,-32.040100,1.341451,-0.433211,-0.078151,-0.448979,-0.187722,0.459514,0.187063,-0.079225,0.114205,0.109426,-0.174249,-0.179581,0.023171,0.005736,0.021473,0.009058,0.015598,0.012915,0.038819,0.001174,0.004504,0.007192,0.005345,0.005980,0.017390,0.025539,0.000651,0.249997,0.043533,0.019893,0.289681,0.001363,0.078948,1.519638,0.290450,0.128152,0.266018,0.152468,0.122122,0.127600,0.084505,0.148438,0.144783,0.117395,0.104605,0.092550,0.004996,0.005235,0.011898,0.010966,0.006862,0.015070,0.034559,0.000718,0.000852,0.003417,0.002762,0.004788,0.008139,GB
0.100699,0.000236,3.061115,0.228517,0.256883,0.795983,0.002620,0.142255,-32.396324,1.148773,-0.259855,-0.044909,-0.354244,0.242445,0.127699,0.028605,-0.068281,-0.199710,-0.033767,0.179422,-0.014495,0.006772,0.006213,0.030594,0.018495,0.018150,0.009977,0.050191,0.004860,0.003178,0.010638,0.007850,0.005195,0.016879,0.030913,0.000869,0.426480,0.056829,0.020648,0.585268,0.001294,0.152045,2.082834,0.821587,0.410617,0.310532,0.297195,0.379671,0.266879,0.225421,0.159616,0.159627,0.212775,0.208237,0.201087,0.004950,0.010585,0.022100,0.013709,0.012863,0.008951,0.036619,0.005828,0.001427,0.008393,0.003591,0.005054,0.008753,GB
0.122987,0.000319,2.982433,0.283846,0.287502,0.878802,0.002624,0.167650,-33.037055,1.474524,-0.699306,0.093530,-0.207138,-0.217935,0.144531,0.189422,-0.132943,-0.029035,0.162592,-0.018243,-0.045117,0.011917,0.004785,0.031886,0.006726,0.014457,0.020107,0.059664,0.001203,0.006193,0.006343,0.007158,0.003542,0.019032,0.043633,0.001089,0.595395,0.046866,0.014511,0.701910,0.001720,0.195306,2.573653,0.747310,0.360293,0.490043,0.249757,0.336732,0.334724,0.199735,0.177495,0.182386,0.109135,0.248315,0.170807,0.009249,0.004136,0.023749,0.005785,0.014013,0.024210,0.033731,0.001005,0.007855,0.003080,0.004731,0.002125,0.009247,GB
0.139443,0.000519,2.953479,0.290377,0.292970,0.901730,0.001922,0.181851,-31.259706,1.662732,-0.426369,-0.022845,-0.303339,-0.042613,0.192837,0.031567,-0.204365,0.067315,0.123738,0.005731,0.083818,0.005117,0.004059,0.043743,0.011503,0.023472,0.011599,0.093680,0.003128,0.005100,0.009796,0.012608,0.004307,0.028908,0.034233,0.001626,0.556042,0.037296,0.017305,0.471495,0.000874,0.161662,2.473441,0.473028,0.219139,0.200221,0.239286,0.242583,0.162708,0.176341,0.144509,0.115540,0.150129,0.244676,0.209898,0.004195,0.003432,0.039275,0.007790,0.015161,0.003663,0.066818,0.002239,0.003941,0.005031,0.007558,0.003652,0.017018,GB
0.099338,0.000593,3.102480,0.237415,0.265131,0.732200,0.002938,0.141988,-30.207647,1.555262,-0.694680,0.024662,-0.199034,0.240513,0.130272,-0.164552,-0.025038,0.215543,-0.042032,0.150649,-0.029462,0.012028,0.002749,0.020475,0.010670,0.021806,0.017585,0.058622,0.005874,0.018323,0.014673,0.012600,0.006569,0.022064,0.036145,0.002009,0.344875,0.060075,0.020738,0.570769,0.001720,0.155272,1.822220,0.514109,0.348128,0.201335,0.373046,0.328057,0.196992,0.212689,0.288481,0.177582,0.172387,0.193014,0.204973,0.009387,0.001619,0.019015,0.016633,0.026870,0.016027,0.053583,0.004535,0.020698,0.022175,0.008544,0.006118,0.012177,GB
0.109891,0.000191,3.006835,0.251905,0.265375,0.891640,0.002667,0.192801,-32.692872,1.784302,-0.580172,-0.129742,-0.313478,0.040700,0.035600,-0.013867,-0.240022,0.093457,0.176947,0.062847,-0.026439,0.009347,0.004447,0.020761,0.010599,0.019924,0.014867,0.044015,0.008536,0.008231,0.015444,0.009816,0.005244,0.014480,0.039765,0.000655,0.608271,0.067810,0.012196,0.716291,0.001986,0.215675,1.968195,0.434118,0.369127,0.178117,0.286528,0.297155,0.278357,0.143417,0.196023,0.238261,0.205914,0.192118,0.275163,0.009352,0.006628,0.011622,0.010373,0.012643,0.008093,0.027755,0.015690,0.004214,0.015188,0.010351,0.004555,0.006676,GB
