@RELATION svmTaps
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {enter,a,NOISE,space,q}

@DATA
0.155740,0.002311,1.581902,0.244867,0.185800,1.596551,0.001852,0.251588,-29.469243,-0.445458,0.525488,0.054784,-0.040193,-0.371488,0.179442,-0.118585,0.378745,0.053380,-0.003356,0.193143,-0.004093,0.004452,0.002206,0.005681,0.001606,0.003908,0.002238,0.046753,0.002548,0.002299,0.002362,0.010824,0.003144,0.013031,0.035545,0.003475,0.868303,0.020737,0.023012,0.310264,0.001291,0.048322,1.956539,0.734600,0.581928,0.244904,0.194819,0.310150,0.349390,0.178093,0.167029,0.184599,0.167942,0.244620,0.191024,0.001309,0.001409,0.005402,0.000922,0.003091,0.001655,0.074907,0.001870,0.002036,0.000850,0.012072,0.002508,0.020028,enter
0.117627,0.005616,2.761307,0.202600,0.195125,1.328575,0.001742,0.192831,-25.530860,0.039210,-0.203880,-0.001225,-0.070466,0.034722,0.366711,0.005099,0.291759,0.068874,-0.137113,-0.022754,0.046027,0.008557,0.005570,0.024747,0.008216,0.008848,0.003542,0.051989,0.002778,0.003560,0.004217,0.011551,0.003930,0.015953,0.016382,0.004837,0.599943,0.012761,0.023572,0.184318,0.001093,0.027053,1.525993,0.593027,0.496260,0.130014,0.191801,0.172511,0.125845,0.206302,0.154743,0.170735,0.139872,0.090096,0.115085,0.005244,0.003802,0.024080,0.008466,0.004390,0.002371,0.049982,0.001954,0.000516,0.000782,0.007964,0.001737,0.012946,enter
0.081897,0.006740,2.194236,0.224946,0.202887,1.445838,0.006813,0.255898,-25.399502,0.972397,0.128688,-0.124971,-0.531464,-0.416902,0.136618,-0.020983,0.193269,0.307280,0.062908,-0.222274,0.189119,0.004698,0.004742,0.016127,0.001595,0.004629,0.003918,0.024044,0.002119,0.007844,0.003908,0.005735,0.003235,0.007323,0.031764,0.002995,0.603626,0.057918,0.021334,0.811896,0.009808,0.160545,1.002318,0.757251,0.330917,0.236206,0.223418,0.272803,0.187114,0.153428,0.132097,0.058657,0.134744,0.108957,0.157270,0.001498,0.003232,0.008698,0.001315,0.001768,0.002222,0.012356,0.001887,0.006979,0.001352,0.003533,0.000788,0.003183,enter
0.110481,0.012183,2.951103,0.212454,0.206582,1.262967,0.002705,0.183303,-24.142940,0.333415,0.159069,0.282010,0.189593,-0.048393,0.196595,-0.015090,0.186127,0.174304,0.102109,0.085822,0.072227,0.003605,0.002105,0.051070,0.002312,0.005300,0.003107,0.099072,0.002908,0.003337,0.002970,0.023497,0.002922,0.029448,0.026799,0.005790,0.282226,0.017994,0.024363,0.405761,0.001735,0.064877,0.931795,0.500873,0.359165,0.314023,0.265935,0.229030,0.162822,0.225555,0.170048,0.209685,0.267447,0.210919,0.142007,0.000992,0.000447,0.026108,0.001103,0.002846,0.002111,0.065070,0.002348,0.002431,0.000484,0.019761,0.001876,0.017714,enter
0.199637,0.002374,1.681255,0.288414,0.212682,1.769494,0.001700,0.379537,-30.506534,-0.312035,0.431783,0.276396,-0.164065,-0.310552,0.137682,-0.054060,0.154114,0.160882,0.414590,0.211598,-0.095557,0.003192,0.002441,0.005209,0.002316,0.029254,0.001873,0.009101,0.001550,0.001409,0.002725,0.004171,0.003427,0.009305,0.041067,0.003863,0.924342,0.055805,0.040556,0.263322,0.001627,0.102740,3.119871,1.238184,0.149666,0.389802,0.248454,0.136230,0.237754,0.135816,0.257660,0.072885,0.101228,0.124459,0.200913,0.001305,0.001251,0.003036,0.002062,0.046100,0.000984,0.006966,0.001414,0.000362,0.001415,0.001598,0.002351,0.011667,enter
0.169578,0.002746,2.149547,0.284674,0.216828,1.790221,0.002084,0.360027,-29.595335,-0.049272,0.292192,0.135694,-0.082145,-0.293197,0.118965,0.161101,0.163837,0.232670,0.087429,0.028109,-0.103366,0.002678,0.002566,0.009717,0.003001,0.024255,0.003850,0.021311,0.001767,0.002264,0.003505,0.008189,0.002439,0.010158,0.022422,0.004029,0.692468,0.051213,0.050984,0.511135,0.001798,0.109484,3.303694,1.295284,0.311804,0.105132,0.133512,0.186055,0.229828,0.245405,0.077516,0.133050,0.215524,0.135059,0.100517,0.001381,0.000952,0.006264,0.001571,0.039196,0.000705,0.016368,0.001038,0.001591,0.001475,0.003386,0.001616,0.009308,enter
0.170372,0.001623,2.194062,0.263153,0.217096,1.579026,0.001686,0.280399,-31.246966,-0.282030,0.366101,0.080187,-0.177150,-0.232694,0.247203,0.084859,0.042702,0.250450,0.187334,0.194859,-0.156144,0.004802,0.001575,0.006464,0.002057,0.025346,0.002953,0.016790,0.003939,0.002674,0.005782,0.006354,0.003231,0.007898,0.013530,0.002696,0.833381,0.029917,0.047242,0.349260,0.001722,0.045476,2.929163,1.508302,0.218530,0.315536,0.185291,0.247863,0.143690,0.208962,0.187639,0.212741,0.277735,0.128014,0.182041,0.001935,0.000471,0.002822,0.001107,0.034989,0.002028,0.012383,0.001773,0.000459,0.005182,0.002103,0.002334,0.008921,enter
0.155853,0.002909,2.173790,0.243799,0.205408,1.672153,0.001586,0.252949,-29.183671,-0.229487,0.501826,0.334845,-0.077396,-0.250704,0.332355,0.011295,0.248048,0.023842,0.006275,-0.008193,-0.026713,0.004331,0.002656,0.021085,0.003353,0.005483,0.002861,0.047501,0.002094,0.003744,0.002720,0.015257,0.002270,0.013885,0.045438,0.004647,0.751155,0.030291,0.028938,0.269110,0.001100,0.054372,2.270375,0.832180,0.361736,0.155646,0.316392,0.143120,0.227327,0.155648,0.104299,0.201920,0.212314,0.288630,0.162829,0.001198,0.001946,0.018936,0.002025,0.003017,0.000555,0.040361,0.000410,0.002203,0.001343,0.017198,0.001136,0.011251,enter
0.167650,0.002762,1.178891,0.258822,0.196160,1.688556,0.000836,0.323049,-28.693571,-1.147834,0.398157,-0.076394,0.045996,-0.352889,0.191108,0.016092,0.010708,0.140263,0.216070,-0.026297,-0.061128,0.002799,0.003035,0.003564,0.001454,0.001810,0.002137,0.004911,0.003096,0.001398,0.003256,0.003357,0.003454,0.001434,0.025288,0.003559,0.872986,0.029153,0.010881,0.163247,0.000495,0.075329,1.922299,0.572451,0.255908,0.452129,0.402970,0.240891,0.118856,0.164220,0.131489,0.052965,0.315522,0.209156,0.342837,0.001588,0.000726,0.001391,0.000685,0.000779,0.001514,0.002923,0.001723,0.000340,0.000675,0.000687,0.000871,0.000510,enter
0.136116,0.007643,2.465893,0.261896,0.206503,1.841506,0.001565,0.342559,-25.221220,0.692324,0.711851,0.145226,-0.115138,-0.287203,0.037580,-0.065164,-0.089208,0.077245,-0.029334,-0.142242,0.064466,0.008221,0.002008,0.010434,0.002898,0.010242,0.002945,0.019514,0.002422,0.004124,0.013427,0.018240,0.003471,0.007971,0.045247,0.004810,0.511461,0.034509,0.018000,0.437976,0.001031,0.124908,1.074457,0.728799,0.202544,0.113394,0.215467,0.416760,0.108985,0.082982,0.123718,0.166206,0.297118,0.152835,0.134592,0.008404,0.000573,0.003380,0.001789,0.013449,0.001216,0.014265,0.000938,0.001469,0.011966,0.018887,0.003037,0.005592,enter
